,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
148,4wQUopWk9Ed7Ng5qpKN5qd,0.583,0.918,6.0,-3.612,1.0,0.0518,0.288,0.0,0.0701,0.836,164.081,172973.0,4.0
149,2MZQAvsA7aZDssppBLRxYp,0.606,0.908,6.0,-6.201,0.0,0.0565,0.556,0.0,0.19,0.798,171.966,140942.0,4.0
150,4llr8mcoauwrHBtjGb7F9S,0.75,0.668,0.0,-4.49,0.0,0.061,0.78,3.13e-06,0.338,0.786,94.998,159147.0,4.0
151,2QLbRVzixE282JSQjBz2DG,0.81,0.789,6.0,-4.032,1.0,0.0498,0.0254,1.85e-06,0.104,0.432,129.988,150462.0,4.0
152,2Gjt4rUHBUH0rMKpBg0hF4,0.747,0.725,2.0,-2.564,0.0,0.363,0.551,0.0,0.0626,0.904,129.96,125558.0,4.0
153,2SUPbyD77tJuOUbqbxct6l,0.593,0.932,8.0,-2.324,1.0,0.0526,0.302,0.0,0.133,0.913,171.977,147876.0,4.0
154,17UfXrL7Run3GyZJW4uRjC,0.686,0.789,1.0,-4.103,1.0,0.126,0.322,0.0,0.4,0.822,157.932,157355.0,4.0
155,7IG7laqVpcvIIULrwWP5SA,0.852,0.62,6.0,-5.79,0.0,0.227,0.359,0.0,0.101,0.744,92.464,155676.0,4.0
156,58pgi1RpcU2fVJsxhm7BIr,0.808,0.796,1.0,-3.169,1.0,0.0305,0.462,0.000269,0.155,0.799,128.048,175047.0,4.0
157,3HquWF2pZmWYu3WAEP9Heb,0.553,0.785,3.0,-4.099,0.0,0.0682,0.665,0.0,0.445,0.914,75.852,160477.0,4.0
158,5R9KPXQVeyqsHZoPLMgfNy,0.65,0.792,6.0,-3.825,0.0,0.0393,0.607,2.36e-05,0.92,0.872,154.027,225672.0,4.0
159,7EWXP47VlXKO3r7mNxuWHw,0.758,0.763,1.0,-8.754,0.0,0.0768,0.23,1.33e-05,0.0703,0.854,163.946,155210.0,4.0
160,3lJ8BcGM1ROQ1ufneU3Qya,0.848,0.502,1.0,-6.472,0.0,0.238,0.679,0.0,0.0565,0.816,159.902,158531.0,4.0
161,1ere9b9vDw2N3m9d4uiXxa,0.443,0.509,2.0,-5.995,1.0,0.0536,0.615,0.0,0.472,0.69,160.984,196380.0,4.0
162,1HoapWs5KcMzs8QYdgg9Kt,0.69,0.874,10.0,-4.169,1.0,0.0882,0.0731,0.0,0.104,0.921,168.116,170000.0,4.0
163,6HV630GY0GT3RN2efFRmbP,0.758,0.697,1.0,-4.103,1.0,0.0347,0.647,0.0,0.0887,0.81,94.98,171264.0,4.0
164,40zJaB3z53PGaxIkYyieBP,0.826,0.769,11.0,-5.203,0.0,0.0507,0.538,0.0,0.345,0.709,125.979,183695.0,4.0
165,5AhnPqydkYbZAp4NkyJ7ED,0.738,0.901,7.0,-4.968,1.0,0.071,0.252,5.96e-06,0.301,0.747,134.813,135111.0,4.0
166,0e6NlGJxYlHvAN8SKxad7N,0.676,0.823,5.0,-4.386,1.0,0.102,0.242,0.0,0.0773,0.907,160.013,190680.0,4.0
167,5glMxRMRHGBRj6bydBjoPM,0.695,0.805,8.0,-4.351,1.0,0.0959,0.333,0.0,0.0794,0.673,165.036,154182.0,4.0
168,3ODFNdnvb3EwcXk6DI6tGA,0.716,0.817,7.0,-8.206,0.0,0.0569,0.193,0.0,0.071,0.928,160.047,162237.0,4.0
169,0x0V1IID2Sj902k6LzuWds,0.904,0.713,10.0,-0.623,1.0,0.0892,0.641,0.0,0.124,0.77,130.023,216000.0,4.0
